quoteAuthor,quoteText,quoteLink
Абу-ль-Фарадж,Ал-Халладж,Альберт Эйнштейн,Антисфен,Антуан де Сент-Экзюпери,Будда Гаутама,Виссарион Григорьевич Белинский,Джон Энрайт ,Доктор Хаус,Жюль Верн,Карл Сендберг,Карлейль,Конфуций,Лао Цзы,Лев Толстой,Махатма Ганди,Низами,Публий Вергилий Марон,Ричард Бах,Роберт Энтони
Ищи скрытое пламя на своей собственной земле... Недостойно человека одалживать свет где-либо еще.,"Но я, к сожалению, не умею видеть барашка сквозь стенки ящика. Может быть, я немного похож на взрослых. Наверно, я старею.","Любая беда — всего лишь преграда, которую можно обойти и на которую тратить много сил нет необходимости.","Избавьтесь от всего, что следует выбросить из вашей жизни: вы ощутите больше легкости, счастья, а ваш ум ощутит больше покоя. ","Нельзя принимать ничего близко к сердцу, ведь то, что примешь, хочешь удержать. А удержать нельзя ничего. ","Мудр не тот, кто много знает, а тот, чьи знания полезны.","Слово, идущее от сердца, проникает в сердце.","Дай человеку рыбу, и он будет сыт весь день. Научи человека ловить рыбу, и он будет сыт всю жизнь. ","Ваше сознание в силах дать вам все, что бы вы ни пожелали. Но только в том случае, если оно получит ясные, четкие, сфокусированные сигналы. ","Каждая мечта тебе дается вместе с силами, необходимыми для ее осуществления. Однако, тебе, возможно, придется ради этого потрудиться. ","Если нет своей цели в жизни, то приходится работать на того, у кого она есть.",Мыслить по шаблону — вернейший способ завалить дело. ,Истина выше людей и не должна бояться их.,"Кто боится других, тот раб, хотя он этого и не замечает. ",Перед человеком к разуму три пути: путь размышления — это самый благородный; путь подражания — это самый легкий; путь личного опыта — самый тяжелый путь.,"Ничего не происходит просто так, нам просто не известны мотивы. ","Человек стоит столько, во сколько он сам себя ценит. ","Если в поражении ты видишь свой конец, то не вступай в бой, даже если ты сильнее. Ибо никто не может купить Судьбу, а Сила не обязана служить своему обладателю. Но поражение — это не конец, а врата или новое начало. ","Настоящий гений — человек, живущий в том мире, который он сам придумал и построил. ",Смелым помогает судьба. 
http://forismatic.com/ru/ecd66dbb8c/,http://forismatic.com/ru/55b028f247/,http://forismatic.com/ru/9983342ab2/,http://forismatic.com/ru/2cec28e843/,http://forismatic.com/ru/c9b5fe6e96/,http://forismatic.com/ru/e04f1099c5/,http://forismatic.com/ru/58d0e7525a/,http://forismatic.com/ru/a7a6531ecb/,http://forismatic.com/ru/4bfb4414e7/,http://forismatic.com/ru/ba101a015e/,http://forismatic.com/ru/3958ef3a5b/,http://forismatic.com/ru/9697914b52/,http://forismatic.com/ru/822bcb043b/,http://forismatic.com/ru/74ada7cc78/,http://forismatic.com/ru/f7957fc184/,http://forismatic.com/ru/bdc8d19b86/,http://forismatic.com/ru/635b4ff5c7/,http://forismatic.com/ru/b7e6caf389/,http://forismatic.com/ru/ef1bbc857b/,http://forismatic.com/ru/b593ab0662/
